Topic,Keyword,Weight
4,"""甚响""",0.0
4,"""如不愿""",0.0
4,"""两座""",0.0
4,"""随身""",0.0
4,"""金刀王""",0.0
4,"""遗言""",0.0
4,"""表弟""",0.0
4,"""甜蜜""",0.0
17,"""甚响""",0.0
17,"""如不愿""",0.0
17,"""两座""",0.0
17,"""随身""",0.0
17,"""金刀王""",0.0
17,"""遗言""",0.0
17,"""表弟""",0.0
17,"""甜蜜""",0.0
18,"""朱元璋""",0.009
18,"""侠义""",0.008
18,"""枉然""",0.002
18,"""表弟""",0.0
18,"""王家骏""",0.0
18,"""两座""",0.0
18,"""随身""",0.0
18,"""金刀王""",0.0
20,"""我教""",0.01
20,"""男女""",0.008
20,"""倏地""",0.008
20,"""后心""",0.005
20,"""左颊""",0.005
20,"""甜蜜""",0.0
20,"""羞得""",0.0
20,"""终身大事""",0.0
36,"""一拳""",0.011
36,"""一节""",0.01
36,"""眼里""",0.0
36,"""甚响""",0.0
36,"""随身""",0.0
36,"""金刀王""",0.0
36,"""遗言""",0.0
36,"""表弟""",0.0
37,"""是否""",0.022
37,"""跃上""",0.013
37,"""眼泪""",0.012
37,"""石壁""",0.012
37,"""寺里""",0.009
37,"""晚""",0.006
37,"""一堆""",0.003
37,"""金刀王""",0.0
11,"""竟然""",0.039
11,"""双目""",0.017
11,"""出身""",0.005
11,"""两座""",0.0
11,"""如不愿""",0.0
11,"""担当不起""",0.0
11,"""金刀王""",0.0
11,"""拜堂""",0.0
3,"""高""",0.021
3,"""苦练""",0.005
3,"""空智""",0.003
3,"""反弹""",0.001
3,"""初次""",0.001
3,"""如不愿""",0.0
3,"""金刀王""",0.0
3,"""两座""",0.0
0,"""三位""",0.018
0,"""左右""",0.015
0,"""挡""",0.013
0,"""携带""",0.009
0,"""软""",0.008
0,"""隐秘""",0.004
0,"""造诣""",0.003
0,"""使用""",0.002
25,"""传来""",0.018
25,"""一部""",0.011
25,"""斗""",0.011
25,"""敝""",0.01
25,"""瞎子""",0.007
25,"""身形""",0.007
25,"""制服""",0.006
25,"""成昆""",0.005
9,"""方丈""",0.032
9,"""这是""",0.031
9,"""大师""",0.028
9,"""前""",0.024
9,"""三个""",0.023
9,"""英雄""",0.022
9,"""少年""",0.02
9,"""一步""",0.019
15,"""一时""",0.035
15,"""想起""",0.032
15,"""不必""",0.028
15,"""高手""",0.025
15,"""肩头""",0.024
15,"""早""",0.024
15,"""内功""",0.023
15,"""多谢""",0.021
14,"""和尚""",0.044
14,"""来到""",0.032
14,"""少林寺""",0.031
14,"""适才""",0.024
14,"""一名""",0.02
14,"""当年""",0.018
14,"""实在""",0.018
14,"""已然""",0.016
23,"""郭靖""",0.068
23,"""忽然""",0.044
23,"""吩咐""",0.043
23,"""银子""",0.034
23,"""终于""",0.024
23,"""半晌""",0.024
23,"""姓""",0.022
23,"""兀自""",0.021
34,"""站""",0.06
34,"""一人""",0.037
34,"""少林""",0.032
34,"""掌门""",0.028
34,"""慢慢""",0.026
34,"""相救""",0.022
34,"""岂""",0.017
34,"""住""",0.017
12,"""三人""",0.032
12,"""地下""",0.031
12,"""立即""",0.03
12,"""本来""",0.029
12,"""到底""",0.027
12,"""总是""",0.021
12,"""多半""",0.019
12,"""汉子""",0.019
2,"""里""",0.032
2,"""难道""",0.031
2,"""左手""",0.029
2,"""之间""",0.029
2,"""老者""",0.026
2,"""身上""",0.024
2,"""内力""",0.021
2,"""身后""",0.019
5,"""请""",0.039
5,"""倒""",0.034
5,"""不可""",0.031
5,"""甚""",0.029
5,"""吃""",0.027
5,"""字""",0.026
5,"""十分""",0.024
5,"""姑娘""",0.024
40,"""说""",0.094
40,"""派""",0.029
40,"""没""",0.022
40,"""事""",0.021
40,"""便""",0.02
40,"""不知""",0.019
40,"""师父""",0.019
40,"""做""",0.018
41,"""中""",0.048
41,"""便""",0.044
41,"""听""",0.036
41,"""道""",0.026
41,"""见""",0.026
41,"""知道""",0.025
41,"""杀""",0.024
41,"""笑""",0.023
